order_id,order_date,delivery_date,product_id,product_name,brand,category,sale_price,gst,region,city,discount,product_rating
O100000,10/6/2023,10/7/2023,P002,Maggi Noodles,Britannia,Snacks,805.75,102.45,South,Hyderabad,110.71,4.2
O100001,5/9/2023,5/10/2023,P004,Surf Excel,Patanjali,Beverages,915.52,52.05,South,Chennai,103.95,2.9
O100002,3/22/2023,3/25/2023,P004,Surf Excel,HUL,Household,917.87,54.84,West,Pune,153.97,4.3
O100003,11/21/2023,11/25/2023,P007,Dabur Chyawanprash,Britannia,Beverages,325.47,20.87,South,Bangalore,57.91,3.7
O100004,1/16/2023,1/17/2023,P007,Dabur Chyawanprash,Amul,Personal Care,440.41,54.69,West,Pune,70.85,3.6
O100005,5/25/2023,5/28/2023,P008,Nestle Milkmaid,Dabur,Personal Care,81.49,10.65,West,Mumbai,0.24,4.6
O100006,2/13/2023,2/17/2023,P006,Britannia Biscuits,Patanjali,Dairy,895.48,133.86,West,Mumbai,79.31,5
O100007,1/13/2023,1/16/2023,P005,Patanjali Honey,Patanjali,Household,957.72,114.25,North,Chandigarh,103.74,2.6
O100008,2/28/2023,3/1/2023,P006,Britannia Biscuits,Nestle,Staples,939.79,87.01,South,Hyderabad,30.34,5
O100009,3/14/2023,3/16/2023,P004,Surf Excel,Patanjali,Household,280.44,19.18,West,Mumbai,29.36,3.6
O100010,7/4/2023,7/9/2023,P004,Surf Excel,Nestle,Personal Care,346.37,22.81,South,Hyderabad,3.88,3.6
O100011,9/20/2023,9/22/2023,P001,Tata Tea,Nestle,Personal Care,452.26,30.84,West,Mumbai,88.58,4.6
O100012,8/27/2023,8/30/2023,P007,Dabur Chyawanprash,ITC,Dairy,899.06,77.58,South,Hyderabad,2.66,4.6
O100013,4/24/2023,4/27/2023,P001,Tata Tea,Patanjali,Household,209.12,31.21,South,Chennai,39.49,3.2
O100014,7/26/2023,7/27/2023,P002,Maggi Noodles,Nestle,Snacks,391.59,57.53,East,Kolkata,53.35,3
O100015,9/27/2023,10/1/2023,P007,Dabur Chyawanprash,Amul,Snacks,111.85,19.77,East,Bhubaneswar,19.07,3.3
O100016,4/8/2023,4/13/2023,P008,Nestle Milkmaid,ITC,Snacks,195.24,27.53,West,Pune,22.12,3.3
O100017,7/3/2023,7/4/2023,P001,Tata Tea,Dabur,Beverages,381.12,45.8,North,Lucknow,15.87,2.8
O100018,1/4/2023,1/9/2023,P006,Britannia Biscuits,Amul,Beverages,556.52,41.14,East,Bhubaneswar,70.91,3.6
O100019,12/16/2023,12/20/2023,P008,Nestle Milkmaid,ITC,Staples,659.41,92.72,North,Chandigarh,62.44,3.1
O100020,5/15/2023,5/18/2023,P001,Tata Tea,HUL,Snacks,487.51,48.4,East,Patna,85.38,4.3
O100021,10/18/2023,10/20/2023,P007,Dabur Chyawanprash,Tata,Staples,464.64,46.69,South,Bangalore,20.37,3.6
O100022,9/17/2023,9/22/2023,P006,Britannia Biscuits,Tata,Dairy,137.32,22.31,North,Delhi,23.63,4.2
O100023,5/24/2023,5/26/2023,P004,Surf Excel,ITC,Staples,491.82,49.04,West,Pune,48.37,3.2
O100024,12/26/2023,12/29/2023,P003,Amul Butter,Dabur,Staples,383.33,37.89,East,Patna,21.13,5
O100025,12/31/2023,1/3/2024,P005,Patanjali Honey,HUL,Snacks,355.1,48.49,North,Chandigarh,69.93,4.3
O100026,8/3/2023,8/8/2023,P008,Nestle Milkmaid,HUL,Snacks,833.9,54.23,North,Delhi,157.85,4.1
O100027,3/16/2023,3/18/2023,P001,Tata Tea,Patanjali,Snacks,396.6,25.83,West,Mumbai,0.13,3.4
O100028,1/31/2023,2/2/2023,P004,Surf Excel,Dabur,Dairy,361.14,48.58,East,Patna,52.23,4.6
O100029,2/5/2023,2/10/2023,P002,Maggi Noodles,HUL,Household,160.86,20.38,North,Lucknow,25.22,3.4
O100030,12/4/2023,12/6/2023,P005,Patanjali Honey,ITC,Beverages,762.23,74.47,South,Chennai,16.48,2.6
O100031,11/27/2023,11/29/2023,P004,Surf Excel,Patanjali,Snacks,786.78,125.61,North,Chandigarh,56.2,4.2
O100032,6/21/2023,6/23/2023,P001,Tata Tea,Nestle,Dairy,170.03,28.83,West,Ahmedabad,9.21,3.8
O100033,2/1/2023,2/2/2023,P003,Amul Butter,ITC,Snacks,480.14,38.79,North,Delhi,51.76,4.4
O100034,11/27/2023,12/1/2023,P006,Britannia Biscuits,Dabur,Staples,693.56,92.43,North,Lucknow,59.25,4.4
O100035,1/29/2023,2/2/2023,P005,Patanjali Honey,Amul,Personal Care,72.09,11.12,West,Pune,5.35,4.1
O100036,12/27/2023,12/31/2023,P008,Nestle Milkmaid,Britannia,Beverages,73.51,4.6,East,Kolkata,13.43,3.7
O100037,10/26/2023,10/30/2023,P007,Dabur Chyawanprash,Tata,Beverages,859.85,49.36,North,Lucknow,2.5,2.8
O100038,6/20/2023,6/23/2023,P006,Britannia Biscuits,ITC,Household,76.45,11.93,North,Lucknow,9.64,4.8
O100039,7/4/2023,7/9/2023,P005,Patanjali Honey,Dabur,Beverages,211.44,22.28,North,Lucknow,24.88,3.9
O100040,3/19/2023,3/24/2023,P007,Dabur Chyawanprash,HUL,Staples,769.47,42.42,East,Patna,36.12,2.9
O100041,9/19/2023,9/24/2023,P004,Surf Excel,Nestle,Dairy,960.47,89.31,North,Lucknow,130.4,4.3
O100042,6/26/2023,6/27/2023,P005,Patanjali Honey,Nestle,Dairy,142.36,10.78,North,Lucknow,8.85,3.5
O100043,1/28/2023,1/31/2023,P001,Tata Tea,HUL,Dairy,638.36,76.67,North,Lucknow,117.32,3.3
O100044,9/23/2023,9/28/2023,P001,Tata Tea,ITC,Personal Care,680.59,42.16,East,Patna,3.3,4
O100045,1/15/2023,1/20/2023,P008,Nestle Milkmaid,ITC,Staples,278.29,18.45,North,Lucknow,54.21,3.7
O100046,12/3/2023,12/7/2023,P004,Surf Excel,Britannia,Staples,941.12,78.64,South,Chennai,154.53,3.4
O100047,8/17/2023,8/19/2023,P007,Dabur Chyawanprash,HUL,Snacks,252.39,15.81,North,Delhi,23.27,3.2
O100048,10/5/2023,10/8/2023,P001,Tata Tea,Britannia,Dairy,298.12,50.07,West,Ahmedabad,56.22,3.7
